age,job,marital,education,default,balance,housing,loan,campaign,y
48,management,divorced,tertiary,no,-244,yes,no,1,no
32,management,married,tertiary,no,0,yes,no,1,no
42,admin.,single,secondary,no,-76,yes,no,1,no
24,technician,single,secondary,no,-103,yes,yes,1,no
38,entrepreneur,single,tertiary,no,243,no,yes,1,no
38,management,single,tertiary,no,424,yes,no,1,no
47,blue-collar,married,unknown,no,306,yes,no,1,no
40,blue-collar,single,unknown,no,24,yes,no,1,no
46,services,married,primary,no,179,yes,no,1,no
32,admin.,married,tertiary,no,0,yes,no,1,no
53,technician,divorced,secondary,no,989,yes,no,1,no
57,blue-collar,married,primary,no,249,yes,no,1,no
33,services,married,secondary,no,790,yes,no,1,no
49,blue-collar,married,unknown,no,154,yes,no,1,no
60,retired,married,tertiary,no,100,no,no,1,no
59,management,divorced,tertiary,no,59,yes,no,1,no
55,technician,married,secondary,no,1205,yes,no,2,no
31,services,married,secondary,no,25,yes,yes,1,no
54,management,married,secondary,no,282,yes,yes,1,no
55,blue-collar,married,primary,no,23,yes,no,1,no
43,technician,married,secondary,no,1937,yes,no,1,no
53,technician,married,secondary,no,384,yes,no,1,no
44,blue-collar,married,secondary,no,582,no,yes,1,no
55,services,divorced,secondary,no,91,no,no,1,no
49,services,divorced,secondary,no,0,yes,yes,1,no
55,services,divorced,secondary,yes,1,yes,no,1,no
45,admin.,single,secondary,no,206,yes,no,1,no
47,services,divorced,secondary,no,164,no,no,1,no
42,technician,single,secondary,no,690,yes,no,1,no
59,admin.,married,secondary,no,2343,yes,no,1,yes
46,self-employed,married,tertiary,no,137,yes,yes,1,no
51,blue-collar,married,primary,no,173,yes,no,2,no
56,admin.,married,secondary,no,45,no,no,1,yes
41,technician,married,secondary,no,1270,yes,no,1,yes
46,management,divorced,secondary,no,16,yes,yes,2,no
57,retired,married,secondary,no,486,yes,no,2,no
42,management,single,secondary,no,50,no,no,1,no
30,technician,married,secondary,no,152,yes,yes,2,no
60,admin.,married,secondary,no,290,yes,no,1,no
60,blue-collar,married,unknown,no,54,yes,no,1,no
57,entrepreneur,divorced,secondary,no,-37,no,no,1,no
36,management,married,tertiary,no,101,yes,yes,1,no
55,blue-collar,married,secondary,no,383,no,no,1,no
60,retired,married,tertiary,no,81,yes,no,1,no
39,technician,married,secondary,no,0,yes,no,1,no
46,management,married,tertiary,no,229,yes,no,1,no
44,blue-collar,married,secondary,no,-674,yes,no,1,no
53,blue-collar,married,primary,no,90,no,no,1,no
52,blue-collar,married,primary,no,128,yes,no,1,no
59,blue-collar,married,primary,no,179,yes,no,3,no
27,technician,single,tertiary,no,0,yes,no,1,no
44,blue-collar,married,secondary,no,54,yes,no,1,no
47,technician,married,tertiary,no,151,yes,no,1,no
34,admin.,married,secondary,no,61,no,yes,1,no
59,retired,single,secondary,no,30,yes,no,1,no
45,management,married,tertiary,no,523,yes,no,2,no
29,services,divorced,secondary,no,31,yes,no,1,no
46,technician,divorced,secondary,no,79,no,no,1,no
56,self-employed,married,primary,no,-34,yes,yes,2,no
36,blue-collar,married,primary,no,448,yes,no,1,no
59,retired,divorced,primary,no,81,yes,no,1,no
44,blue-collar,married,secondary,no,144,yes,no,2,no
41,admin.,married,secondary,no,351,yes,no,1,no
33,management,single,tertiary,no,-67,yes,no,1,no
59,management,divorced,tertiary,no,262,no,no,1,no
57,technician,married,primary,no,0,no,no,1,no
56,technician,divorced,unknown,no,56,yes,no,1,no
51,blue-collar,married,secondary,no,26,yes,no,1,no
34,admin.,married,unknown,no,3,yes,no,3,no
43,services,married,secondary,no,41,yes,yes,2,no
52,technician,married,tertiary,no,7,no,yes,1,no
33,technician,single,secondary,no,105,yes,no,2,no
29,admin.,single,secondary,no,818,yes,yes,1,no
34,services,married,secondary,no,-16,yes,yes,1,no
31,blue-collar,married,secondary,no,0,yes,no,1,no
55,services,married,secondary,no,2476,yes,no,1,yes
55,management,married,unknown,no,1185,no,no,1,no
32,admin.,single,secondary,no,217,yes,no,1,no
38,technician,single,secondary,no,1685,yes,no,1,no
55,admin.,single,secondary,no,802,yes,yes,2,no
28,unemployed,single,tertiary,no,0,yes,no,2,no
23,blue-collar,married,secondary,no,94,yes,no,1,no
32,technician,single,secondary,no,0,yes,no,1,no
43,services,single,unknown,no,0,no,no,1,no
32,blue-collar,married,secondary,no,517,yes,no,1,no
46,blue-collar,married,secondary,no,265,yes,no,1,no
53,housemaid,divorced,primary,no,947,yes,no,1,no
34,self-employed,single,secondary,no,3,yes,no,1,no
57,unemployed,married,tertiary,no,42,no,no,1,no
37,blue-collar,married,secondary,no,37,yes,no,1,no
59,blue-collar,married,secondary,no,57,yes,no,1,no
33,services,married,secondary,no,22,yes,no,1,no
56,blue-collar,divorced,primary,no,8,yes,no,2,no
48,unemployed,married,secondary,no,293,yes,no,1,no
43,services,married,primary,no,3,yes,no,2,no
54,blue-collar,married,primary,no,348,yes,no,2,no
51,blue-collar,married,unknown,no,-19,yes,no,2,no
26,student,single,secondary,no,0,yes,no,2,no
40,management,married,tertiary,no,-4,yes,no,1,no
39,management,married,secondary,no,18,yes,no,1,no
50,technician,married,primary,no,139,no,no,2,no
41,services,married,secondary,no,0,yes,no,2,no
51,blue-collar,married,unknown,no,1883,yes,no,1,no
60,retired,divorced,secondary,no,216,yes,no,1,no
52,blue-collar,married,secondary,no,782,yes,no,3,no
48,blue-collar,married,secondary,no,904,yes,no,2,no
48,services,married,unknown,no,1705,yes,no,1,no
39,technician,single,tertiary,no,47,yes,no,1,no
47,services,single,secondary,no,176,yes,no,2,no
40,blue-collar,married,secondary,no,1225,yes,no,5,no
45,technician,married,secondary,no,86,yes,no,1,no
26,admin.,single,secondary,no,82,yes,no,1,no
52,management,married,tertiary,no,271,yes,no,1,no
54,technician,married,secondary,no,1378,yes,no,1,no
54,admin.,married,tertiary,no,184,no,no,2,yes
50,blue-collar,married,primary,no,0,no,no,3,no
35,blue-collar,married,secondary,no,0,yes,no,1,no
44,services,married,secondary,no,1357,yes,yes,1,no
53,entrepreneur,married,unknown,no,19,yes,no,1,no
35,retired,single,primary,no,434,no,no,1,no
60,admin.,divorced,secondary,no,92,yes,no,1,no
53,admin.,divorced,secondary,no,1151,yes,no,1,no
48,unemployed,married,secondary,no,41,yes,no,2,no
34,technician,married,secondary,no,51,yes,no,2,no
54,services,married,secondary,no,214,yes,no,2,no
51,management,married,secondary,no,1161,yes,no,1,no
31,services,married,tertiary,no,37,yes,no,1,no
35,technician,divorced,secondary,no,787,yes,no,2,no
35,services,married,secondary,no,59,yes,no,1,no
38,technician,married,secondary,no,253,yes,no,1,no
36,admin.,married,tertiary,no,211,yes,no,2,no
58,retired,married,primary,no,235,yes,no,1,no
34,blue-collar,single,secondary,no,53,yes,yes,1,no
31,management,single,tertiary,no,0,yes,no,1,no
51,retired,married,secondary,no,2127,yes,no,1,no
33,management,married,tertiary,no,377,yes,no,1,no
55,management,married,tertiary,no,73,yes,no,2,no
42,admin.,married,secondary,no,445,yes,no,1,no
34,blue-collar,married,secondary,no,243,yes,no,1,no
33,blue-collar,single,secondary,no,307,yes,no,2,no
38,services,married,secondary,no,155,yes,no,1,no
50,technician,divorced,tertiary,no,173,no,yes,1,no
43,management,married,tertiary,no,400,yes,no,1,no
61,blue-collar,divorced,primary,no,1428,yes,no,2,no
47,admin.,married,secondary,no,219,yes,no,1,no
48,self-employed,married,tertiary,no,7,yes,no,1,no
44,blue-collar,married,secondary,no,575,yes,no,1,no
35,student,single,unknown,no,298,yes,no,2,no
35,services,married,secondary,no,0,yes,no,1,no
41,management,married,tertiary,no,176,yes,yes,1,no
41,management,married,tertiary,no,517,yes,no,1,no
39,services,single,unknown,no,257,yes,no,1,no
42,retired,married,secondary,no,56,yes,no,1,no
38,blue-collar,married,secondary,no,-390,yes,no,1,no
53,retired,married,secondary,no,330,yes,no,2,no
59,housemaid,divorced,primary,no,195,no,no,2,no
36,services,married,secondary,no,301,yes,no,1,no
54,blue-collar,married,primary,no,-41,yes,no,1,no
40,technician,married,tertiary,no,483,yes,no,1,no
47,unknown,married,unknown,no,28,no,no,2,no
53,unemployed,married,unknown,no,13,no,no,3,no
46,housemaid,married,primary,no,965,no,no,1,no
39,management,married,tertiary,no,378,yes,yes,2,no
40,unemployed,married,secondary,no,219,yes,no,1,no
28,blue-collar,married,primary,no,324,yes,no,1,no
35,entrepreneur,divorced,secondary,no,-69,yes,no,1,no
55,retired,married,secondary,no,0,no,yes,1,no
43,technician,divorced,unknown,no,205,yes,no,1,no
48,blue-collar,married,primary,no,278,yes,no,2,no
58,management,married,unknown,no,1065,yes,no,3,no
33,management,single,tertiary,no,34,yes,no,1,no
36,blue-collar,married,unknown,no,1033,no,no,2,no
53,services,divorced,secondary,no,1467,yes,no,1,no
47,blue-collar,married,primary,no,-12,yes,no,1,no
31,services,married,secondary,no,388,yes,no,2,no
57,entrepreneur,married,secondary,no,294,yes,no,2,no
53,blue-collar,married,unknown,no,1827,no,no,1,no
55,blue-collar,married,primary,no,627,yes,no,1,no
45,blue-collar,married,primary,no,25,yes,no,1,no
53,admin.,divorced,secondary,no,315,yes,no,2,no
37,blue-collar,married,primary,no,0,yes,no,1,no
44,admin.,divorced,secondary,no,66,yes,no,1,no
49,blue-collar,divorced,primary,no,-9,yes,yes,1,no
46,technician,married,secondary,no,349,yes,yes,1,no
43,entrepreneur,married,unknown,no,100,yes,no,1,no
38,admin.,married,secondary,no,0,no,no,1,no
43,technician,married,secondary,no,434,yes,no,1,no
49,management,married,tertiary,no,3237,yes,no,3,no
42,management,married,unknown,no,275,no,no,2,no
22,blue-collar,single,secondary,no,0,yes,no,2,no
40,management,married,tertiary,no,207,yes,no,1,no
39,blue-collar,married,secondary,no,483,yes,no,1,no
51,services,married,secondary,no,2248,yes,no,2,no
49,admin.,married,secondary,no,428,yes,no,1,no
53,blue-collar,married,secondary,no,0,yes,yes,1,no
34,services,single,secondary,no,0,yes,no,1,no
33,technician,divorced,secondary,no,140,yes,no,1,no
50,management,single,tertiary,no,297,yes,no,1,no
39,blue-collar,married,primary,no,279,yes,no,1,no
59,entrepreneur,divorced,secondary,no,901,yes,no,3,no
30,technician,single,secondary,no,2573,yes,no,2,no
36,services,married,secondary,no,143,yes,yes,1,no
40,blue-collar,married,secondary,no,475,yes,no,2,no
53,blue-collar,married,secondary,no,70,yes,no,2,no
34,management,single,tertiary,no,318,yes,no,2,no
37,technician,married,secondary,no,275,yes,no,1,no
42,management,divorced,tertiary,no,742,yes,no,3,no
41,entrepreneur,married,primary,no,236,yes,no,1,no
30,student,single,tertiary,no,25,yes,no,2,no
37,management,single,tertiary,no,600,yes,no,1,no
39,admin.,divorced,secondary,no,-349,yes,no,2,no
41,blue-collar,married,primary,no,183,yes,yes,2,no
40,blue-collar,married,primary,no,0,yes,no,1,no
42,management,single,tertiary,no,0,yes,yes,2,yes
40,blue-collar,divorced,primary,no,0,yes,no,1,no
57,technician,married,secondary,no,1078,yes,no,4,no
56,entrepreneur,divorced,secondary,no,155,no,no,3,no
37,admin.,married,secondary,no,190,yes,no,2,no
59,retired,married,secondary,no,319,yes,no,3,no
39,services,divorced,secondary,no,-185,yes,no,3,no
49,services,married,secondary,no,47,no,no,2,no
38,services,single,secondary,no,570,yes,no,2,no
36,self-employed,married,tertiary,no,19,no,no,2,no
50,blue-collar,married,primary,no,61,yes,no,3,no
41,admin.,married,secondary,no,-62,yes,yes,2,no
54,technician,married,tertiary,no,258,no,no,4,no
58,blue-collar,married,primary,no,76,yes,no,2,no
30,blue-collar,single,secondary,no,0,yes,no,2,no
33,admin.,single,secondary,no,352,yes,no,2,no
47,admin.,married,secondary,no,368,yes,no,2,no
50,technician,single,tertiary,no,339,yes,no,3,no
32,blue-collar,married,secondary,no,1331,yes,no,2,no
40,self-employed,married,secondary,no,672,yes,no,2,no
37,management,married,tertiary,no,58,yes,no,2,no
54,technician,single,unknown,no,447,yes,no,2,no
24,student,single,secondary,no,423,yes,no,3,no
54,management,married,tertiary,no,0,no,no,2,no
34,technician,married,secondary,no,19,yes,no,4,no
56,technician,divorced,primary,no,13,yes,no,2,no
31,blue-collar,single,secondary,no,3,yes,no,2,no
24,student,single,secondary,no,82,yes,no,2,no
42,blue-collar,divorced,primary,no,28,yes,no,3,no
57,technician,married,secondary,no,792,yes,no,2,no
42,blue-collar,married,unknown,no,408,yes,no,2,no
51,admin.,married,secondary,no,531,yes,no,2,no
57,retired,married,secondary,no,211,yes,no,2,no
36,services,single,secondary,no,62,yes,no,2,no
53,services,married,unknown,no,257,yes,no,2,no
50,technician,married,secondary,no,1234,yes,no,2,no
54,management,married,tertiary,no,313,yes,no,2,no
55,blue-collar,married,secondary,no,89,yes,no,3,no
44,blue-collar,married,secondary,no,129,yes,yes,2,no
43,management,married,unknown,no,0,yes,no,2,no
56,admin.,married,secondary,no,353,yes,no,2,no
54,technician,married,unknown,no,851,yes,no,2,no
55,services,divorced,primary,no,96,yes,yes,2,no
37,services,divorced,secondary,no,398,yes,yes,2,no
33,admin.,single,tertiary,no,193,no,no,2,no
46,admin.,married,secondary,no,-358,yes,no,2,no
36,blue-collar,married,secondary,no,539,yes,yes,2,no
51,technician,single,secondary,no,0,yes,no,2,no
40,retired,single,primary,no,0,no,no,2,no
42,blue-collar,married,secondary,no,490,yes,no,2,no
51,blue-collar,married,secondary,no,0,yes,no,2,no
49,blue-collar,married,unknown,no,403,yes,no,2,no
48,management,married,secondary,no,161,yes,no,3,no
32,technician,divorced,tertiary,no,2558,no,no,2,no
31,admin.,single,secondary,no,98,yes,no,2,no
55,management,single,tertiary,no,115,no,no,4,no
40,blue-collar,single,secondary,no,436,yes,no,3,no
47,technician,married,tertiary,no,831,yes,no,3,no
57,technician,married,unknown,no,206,yes,no,3,no
41,blue-collar,married,secondary,no,290,yes,no,2,no
48,blue-collar,married,secondary,no,1,no,no,3,no
42,blue-collar,married,unknown,no,57,yes,no,2,no
30,blue-collar,single,secondary,no,-457,yes,no,2,no
58,management,single,tertiary,no,1387,yes,no,5,no
49,blue-collar,married,secondary,no,30,yes,no,4,no
42,admin.,single,secondary,no,1022,yes,no,2,no
53,technician,married,secondary,no,56,yes,yes,2,no
51,admin.,single,secondary,yes,-2,no,no,3,no
32,services,single,secondary,no,121,yes,no,2,no
41,blue-collar,single,secondary,no,842,yes,no,3,no
43,management,divorced,secondary,no,693,yes,no,3,no
40,blue-collar,divorced,secondary,no,-333,yes,no,2,no
50,blue-collar,married,primary,no,1533,yes,no,2,no
34,management,married,tertiary,no,46,yes,no,4,no
53,services,married,unknown,no,18,no,no,2,no
45,technician,married,secondary,no,44,yes,no,4,no
39,blue-collar,married,primary,no,-100,yes,no,2,no
44,services,married,tertiary,no,510,yes,no,4,no
55,management,married,tertiary,no,685,yes,no,3,no
46,management,single,tertiary,no,187,yes,no,2,no
45,blue-collar,married,secondary,no,66,yes,no,2,no
34,admin.,married,secondary,no,560,yes,no,3,no
36,blue-collar,married,secondary,no,0,yes,no,2,no
59,unknown,divorced,unknown,no,27,no,no,3,no
31,admin.,single,secondary,no,12,yes,no,2,no
44,blue-collar,single,secondary,no,34,yes,no,4,no
33,entrepreneur,single,tertiary,no,1068,yes,no,2,no
40,blue-collar,married,secondary,no,211,yes,no,4,no
46,admin.,single,tertiary,no,377,yes,no,2,no
48,management,married,tertiary,no,263,yes,no,2,no
42,services,married,secondary,no,1263,yes,no,2,no
27,services,married,secondary,no,8,yes,no,3,no
48,admin.,married,secondary,no,126,yes,yes,2,no
59,admin.,married,secondary,no,230,yes,no,3,no
46,technician,married,tertiary,no,841,yes,no,1,no
38,admin.,divorced,secondary,no,308,yes,no,1,no
43,management,divorced,tertiary,no,1,yes,no,1,no
38,admin.,divorced,tertiary,no,86,yes,no,1,no
23,student,single,secondary,no,157,yes,no,1,no
34,services,married,secondary,no,22,yes,no,1,no
38,admin.,married,secondary,no,46,yes,yes,1,no
37,blue-collar,married,secondary,no,1293,no,no,1,no
25,admin.,single,secondary,no,122,yes,no,1,no
48,blue-collar,married,unknown,no,131,yes,no,1,no
49,blue-collar,single,secondary,no,143,yes,no,1,no
38,admin.,single,secondary,no,393,no,no,2,no
43,blue-collar,married,primary,no,98,yes,no,1,no
33,management,married,tertiary,no,0,yes,no,1,no
55,blue-collar,married,secondary,no,224,yes,no,1,no
38,blue-collar,married,secondary,no,757,yes,no,1,no
49,services,married,secondary,no,245,yes,yes,1,no
43,admin.,married,unknown,no,350,no,no,1,no
38,blue-collar,married,secondary,no,20,yes,no,1,no
58,services,married,secondary,no,1667,yes,yes,1,no
57,technician,married,unknown,no,345,yes,no,1,no
32,unemployed,married,secondary,no,10,yes,no,4,no
56,management,married,tertiary,no,830,yes,yes,1,yes
58,blue-collar,divorced,unknown,no,29,yes,no,1,no
60,retired,divorced,secondary,no,545,yes,no,1,yes
46,technician,divorced,tertiary,no,477,yes,no,1,no
27,admin.,married,secondary,no,4,yes,no,1,no
43,blue-collar,married,secondary,no,1205,yes,no,2,no
32,technician,single,secondary,no,0,yes,yes,3,no
40,admin.,single,secondary,no,263,yes,no,1,no
38,admin.,married,secondary,no,1,no,no,1,no
34,blue-collar,married,secondary,no,283,no,yes,1,no
47,blue-collar,married,primary,no,206,yes,no,1,no
42,housemaid,married,primary,no,17,yes,no,1,no
48,technician,married,secondary,no,141,yes,yes,1,no
29,self-employed,single,tertiary,no,16,yes,no,1,no
50,services,married,secondary,no,206,yes,no,1,no
52,technician,married,unknown,no,7,no,no,2,no
50,management,married,tertiary,no,0,no,no,1,no
58,retired,married,tertiary,no,0,no,no,1,no
46,blue-collar,divorced,primary,no,1927,yes,no,3,no
38,technician,married,secondary,no,284,yes,no,1,no
46,blue-collar,married,secondary,no,1660,yes,no,1,no
32,services,single,secondary,no,406,yes,no,1,no
51,blue-collar,married,primary,no,230,yes,no,1,no
39,admin.,single,secondary,no,-25,yes,no,1,no
48,admin.,married,secondary,no,182,yes,no,2,no
36,entrepreneur,married,tertiary,no,1169,yes,no,2,no
34,admin.,divorced,secondary,no,67,yes,no,1,no
40,technician,married,secondary,no,77,no,no,1,no
43,unemployed,married,secondary,no,0,yes,no,1,no
52,blue-collar,divorced,primary,no,55,yes,yes,1,no
33,technician,married,secondary,yes,72,yes,no,1,no
49,management,single,tertiary,no,163,yes,no,3,no
32,management,single,tertiary,no,151,yes,no,1,no
39,admin.,single,secondary,no,113,yes,no,1,no
40,blue-collar,married,secondary,no,0,yes,no,1,no
38,technician,single,tertiary,no,9,yes,no,3,no
43,management,married,secondary,no,375,yes,no,2,no
39,services,married,secondary,no,1142,yes,no,1,no
54,blue-collar,married,primary,no,2102,yes,no,1,no
40,blue-collar,married,secondary,no,217,yes,no,1,no
55,admin.,married,secondary,no,131,yes,no,1,no
42,management,married,tertiary,no,1680,yes,no,1,no
39,blue-collar,married,secondary,no,0,yes,no,1,no
40,blue-collar,married,primary,no,46,yes,no,1,no
32,blue-collar,married,secondary,no,320,yes,no,2,no
55,admin.,married,secondary,no,183,yes,no,1,no
45,blue-collar,married,secondary,no,39,no,no,1,no
35,management,single,tertiary,no,560,yes,no,1,no
58,technician,divorced,secondary,no,469,no,no,1,no
35,admin.,married,secondary,no,530,yes,no,1,no
49,services,married,primary,no,61,yes,no,1,no
34,technician,single,tertiary,no,242,yes,no,1,no
36,blue-collar,married,secondary,no,139,yes,no,2,no
24,self-employed,single,secondary,no,0,yes,no,1,no
34,technician,married,secondary,no,367,yes,no,1,no
51,admin.,divorced,secondary,no,228,yes,no,1,no
50,self-employed,married,unknown,no,-84,yes,no,1,no
32,services,single,secondary,no,310,yes,no,1,no
42,blue-collar,married,unknown,no,132,yes,no,1,no
50,technician,married,secondary,no,797,yes,no,1,no
40,services,married,secondary,no,71,no,no,1,no
46,management,divorced,unknown,no,2,yes,no,1,no
37,management,married,tertiary,no,231,yes,yes,2,no
34,blue-collar,married,secondary,no,270,yes,yes,1,no
44,blue-collar,married,secondary,no,274,yes,yes,1,no
40,admin.,single,secondary,no,-109,yes,yes,1,no
37,technician,married,secondary,no,1,yes,no,1,yes
33,blue-collar,single,secondary,yes,-60,no,no,1,no
35,blue-collar,married,secondary,no,89,yes,no,2,no
58,blue-collar,divorced,secondary,no,-11,no,no,1,no
39,blue-collar,married,primary,no,0,yes,no,2,no
43,blue-collar,married,secondary,no,-509,yes,no,1,no
39,unemployed,married,primary,no,408,yes,no,1,no
36,services,single,primary,no,58,yes,no,1,no
57,retired,single,secondary,no,1640,no,yes,4,no
36,admin.,single,secondary,no,20,yes,no,1,no
50,blue-collar,married,primary,no,71,yes,no,1,no
55,blue-collar,married,secondary,no,52,yes,no,1,no
44,self-employed,married,tertiary,no,292,yes,no,1,no
44,services,divorced,secondary,no,424,yes,no,1,no
39,housemaid,single,primary,no,109,yes,no,3,no
46,blue-collar,married,unknown,no,1044,yes,no,1,no
39,blue-collar,married,secondary,no,983,yes,no,1,no
34,admin.,married,secondary,no,869,no,no,1,yes
40,blue-collar,married,primary,no,668,yes,no,2,no
50,management,married,tertiary,no,964,yes,no,1,no
31,management,single,secondary,no,301,yes,no,1,no
37,admin.,single,secondary,no,140,yes,no,1,no
39,management,single,secondary,no,1877,yes,no,1,no
51,blue-collar,married,primary,no,1127,yes,no,1,no
41,technician,married,secondary,no,871,yes,no,1,no
41,technician,married,secondary,no,767,yes,yes,1,no
43,blue-collar,married,secondary,no,0,no,no,1,no
30,services,single,secondary,no,209,yes,no,2,no
54,management,divorced,primary,no,0,no,no,1,no
43,blue-collar,divorced,secondary,no,110,yes,yes,1,no
59,management,divorced,tertiary,no,-76,yes,yes,1,no
47,technician,married,unknown,no,178,yes,no,1,no
40,blue-collar,married,primary,no,-66,yes,no,1,no
32,technician,married,secondary,no,0,yes,no,2,no
29,blue-collar,married,secondary,no,1,yes,no,1,no
36,blue-collar,married,secondary,no,0,yes,no,1,no
30,blue-collar,divorced,secondary,no,-209,yes,no,2,no
39,admin.,single,secondary,no,0,yes,no,2,no
39,blue-collar,divorced,secondary,no,42,yes,no,2,no
50,blue-collar,divorced,secondary,no,41,yes,no,1,no
44,blue-collar,married,secondary,no,-99,yes,no,2,no
37,technician,single,secondary,no,17,yes,no,1,no
46,admin.,married,primary,no,276,yes,yes,2,no
32,technician,single,unknown,no,-170,no,no,1,no
37,management,single,tertiary,no,230,yes,yes,1,no
29,blue-collar,married,secondary,no,9,yes,no,1,no
41,blue-collar,married,secondary,no,946,yes,no,1,no
45,blue-collar,married,primary,no,1297,yes,no,2,no
57,retired,divorced,secondary,no,-331,yes,no,1,no
48,blue-collar,single,secondary,no,44,yes,no,1,no
60,retired,married,secondary,yes,15,no,no,1,no
26,admin.,single,secondary,no,712,yes,no,1,no
34,admin.,married,secondary,no,507,yes,no,1,no
55,unemployed,divorced,secondary,no,387,yes,no,1,yes
41,blue-collar,married,primary,no,0,yes,yes,1,no
50,management,divorced,secondary,no,1716,yes,no,1,no
49,entrepreneur,married,secondary,no,167,yes,yes,3,no
44,admin.,married,unknown,no,40,no,yes,2,no
44,blue-collar,married,primary,no,148,yes,no,1,no
31,technician,married,secondary,no,17,yes,yes,1,no
34,blue-collar,single,tertiary,no,1011,yes,no,1,no
46,management,single,unknown,no,1527,yes,no,1,no
42,management,married,tertiary,no,744,no,no,1,no
52,admin.,married,secondary,no,484,yes,no,1,no
29,management,single,tertiary,no,0,yes,no,1,no
53,retired,married,primary,no,136,yes,no,2,no
43,blue-collar,married,secondary,no,1335,yes,no,2,no
38,management,married,secondary,no,517,yes,no,2,no
46,management,married,tertiary,no,459,yes,no,1,no
48,management,divorced,unknown,no,549,yes,no,1,no
30,admin.,divorced,secondary,no,83,yes,yes,1,no
44,blue-collar,married,primary,no,213,no,no,1,no
31,housemaid,married,primary,no,203,yes,no,3,no
42,services,single,secondary,no,518,yes,no,1,no
52,admin.,married,secondary,no,1236,yes,no,1,no
45,blue-collar,divorced,secondary,no,756,yes,no,2,no
48,blue-collar,married,secondary,no,157,yes,no,1,no
45,blue-collar,married,primary,no,-66,yes,no,2,no
34,blue-collar,married,unknown,no,245,yes,no,1,no
34,blue-collar,married,primary,no,-144,yes,no,2,no
46,blue-collar,married,secondary,no,71,yes,no,1,no
49,services,divorced,secondary,no,505,yes,no,1,no
50,technician,married,primary,no,249,yes,no,1,no
34,admin.,single,secondary,no,0,yes,no,1,no
40,unemployed,single,secondary,no,11,yes,no,1,no
36,admin.,married,secondary,no,639,yes,no,1,no
59,blue-collar,divorced,unknown,no,124,yes,no,1,no
45,blue-collar,married,secondary,no,82,yes,no,1,no
36,self-employed,married,tertiary,no,107,yes,no,1,no
56,services,married,secondary,no,473,yes,no,1,no
42,services,divorced,secondary,no,372,yes,yes,2,no
30,admin.,married,secondary,no,46,yes,no,2,no
30,student,single,tertiary,no,34,yes,no,1,no
47,self-employed,married,unknown,no,935,yes,no,1,no
33,blue-collar,married,secondary,no,-10,yes,no,1,no
36,admin.,married,secondary,no,-106,yes,no,2,no
39,services,divorced,primary,no,471,yes,no,2,no
56,admin.,divorced,secondary,no,778,yes,no,2,no
39,blue-collar,divorced,unknown,no,170,yes,no,2,no
42,technician,married,secondary,no,315,yes,no,2,no
52,blue-collar,married,secondary,no,3165,no,no,1,no
